SL. No.,,,Complaint Description,,,,Category,CategoryType,Priority,,,,,,
3467,,,Not reaching overhead tank ,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,low,,,,,,
3468,,,Water is leaking ,,,,Civil,Bathroom ceiling plaster,high,,,,,,
3469,,,Street light not working infront of the house ,,,,Electrical,Street light-Not working,high,,,,,,
3470,,,Back drain jaam ,,,,Housekeeping,Back Drain Jam,high,,,,,,
3471,,,Gate coming out from hinge wall.,,,,Steel Works,Repairs to gate.,low,,,,,,
3472,,,Kitchen hinge clit damage,,,,Civil,Kitchen hinge cleat repair,low,,,,,,
3473,,,Catchpit jam,,,,Housekeeping,Catchpit Jam,low,,,,,,
3474,,,Roof leakage all rooms,,,,Civil,Repairs to roof leakage,low,,,,,,
3475,,,Ac shoket jal Gaya hai ,,,,Electrical,AC power point-AC Switch burnt,low,,,,,,
3476,,,Holder not supply electricity ,,,,Electrical,Holder-angular holder not working,high,,,,,,
3477,,,Window frame damage of u type hall,,,,Woodwork,Repairs to window frame,low,,,,,,
3478,,,Bedroom Door frame damage of u type ,,,,Woodwork,Bedroom-2 door frame repair,low,,,,,,
3479,,,House back side heavely dirty water overflow and water accumulated.,,,,Housekeeping,Catchpit Jam,high,,,,,,
3480,,,House back side heavely dirty water overflow and water accumulated ,,,,Housekeeping,Back Drain Jam,high,,,,,,
3481,,,Having problem walking.,,,,Civil,Repairs to courtyard floor - Full,high,,,,,,
3482,,,"Stair case light lamp is not working very well , it's has been fused",,,,Electrical,Stair case light-Lamp fuse,low,,,,,,
3483,,,Tanker Support required urgently ,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
3484,,,toilet flash broken and leakage,,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,low,,,,,,
3485,,,Both back and front drain  jam,,,,Housekeeping,Back Drain Jam,high,,,,,,
3486,,,Light not working.,,,,Electrical,Light-not working,high,,,,,,
3487,,,No power in the house.,,,,Electrical,No power-Single house,high,,,,,,
3488,,,Bathroom ceiling sipage,,,,Civil,Bathroom ceiling plaster,high,,,,,,
3489,,,Metre not working ,,,,Electrical,Metre-Not working,high,,,,,,
3490,,,Water not store,,,,Civil,Bathroom brick wall repair,high,,,,,,
3491,,,"During rain seepage of water enters to the rooms ,dining hall,front room ,second room ,window also very pathetic condition during rain ",,,,Civil,Repairs to roof leakage,high,,,,,,
3492,,,It is working little making noise and after sometime likely in 2mins stops working,,,,Electrical,Celing fan-Not working,low,,,,,,
3493,,,No power supply,,,,Electrical,No power-Single house,high,,,,,,
3494,,,Near main gate plaster is required to make area smooth and to reduce water logging ,,,,Civil,Repairs to floor other than courtyard floor,high,,,,,,
3495,,,"Bathroom door frame lose and door locking time  shake plz check and resolve.
 ",,,,Woodwork,Bathroom door frame repair,low,,,,,,
3496,,,"Toilet ventilator not working ,and broken plz change",,,,Woodwork,Outhouse Toilet ventilator frame repair,low,,,,,,
3497,,,Kitchen window glass broken ,,,,Woodwork,Broken glass panes,high,,,,,,
3498,,,Front drain is filled with leaves,,,,Housekeeping,Front Drain Jam,low,,,,,,
3499,,,Roof is filled with leaves and plants,,,,Civil,Removing tree growth from roof / wall / pipejoint,low,,,,,,
3500,,,Some tree branches comes inside the balcony ,,,,Civil,Removing tree growth from roof / wall / pipejoint,low,,,,,,
3501,,,OHC Main Gate Light Not Working ,,,,Electrical,Light-not working,high,,,,,,
3502,,,Installed light displaced from original position and hanged on wall.,,,,Electrical,Tube light fitting-hanging,high,,,,,,
3503,,,Hall tubelight not working,,,,Electrical,Light-not working,low,,,,,,
3504,,,Toilet Jam,,,,Housekeeping,Toilet Jam,high,,,,,,
3505,,,Water lkg from ceiling,,,,Civil,Toilet-1 ceiling plaster,high,,,,,,
3506,,,After repairing of bathroom and toilet roof doesn't paint,,,,Civil,Bathroom Touch up painting,high,,,,,,
3507,,,Bathroom holder not working ,,,,Electrical,Light-not working,high,,,,,,
3508,,,Bht zyada machhar ho gaya h jisse dengue and maleria ka khatra h,,,,Housekeeping,Mosquito Related Complaint ,low,,,,,,
3509,,,"Both bathrooms water logging 
Treat this urgent ",,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
3510,,,"Pendent holder infront of bathroom not working...
Please do the needful ",,,,Electrical,Holder-pendent holder not working,high,,,,,,
3511,,,"Balcony batten holder not working...
Please do the needful...",,,,Electrical,Holder-batten holder not working,high,,,,,,
3512,,,Power is not available in both washroom and bathroom,,,,Electrical,Light-not working,high,,,,,,
3513,,,Heavy leakage in kitchen wash basin,,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,high,,,,,,
3514,,,Urgent ,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
3515,,,The promblem is from many years whenever we give complain the workers give us excuses so I am very concerned about this please take it as a serious matter,,,,Woodwork,Door frames patch/copla/tiles/mosaic - Replacement and paint,high,,,,,,
3516,,,Please remove Back side garbage ,,,,Housekeeping,Garbage Removal,low,,,,,,
3517,,,"Hall,3,20/3, bathroom, tubelight,not,working",,,,Electrical,Light-not working,high,,,,,,
3518,,,Window glass repair in bathroom and toilet ,,,,Civil,Bathroom ventilator frame repair,high,,,,,,
3519,,,There is a broken pathway inside quater,,,,Civil,Repairs to pathway inside bungalows,high,,,,,,
3520,,,Leaking of water in toilet flash tank,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
3521,,,Outside manhole cover damage,,,,Civil,Manhole Covers Damaged/missing,low,,,,,,
3522,,,"Hall,4,11/4, bathroomwash,basin/urinal, out pipe damage",,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,high,,,,,,
3523,,,The water tap of the passage area wash basin is leaking ,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
3524,,,Toilet Flush tank broken. Please replace as soon as possible ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
3525,,,Please fill the water ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3526,,,Bathroom door not closing properly ,,,,Woodwork,Bathroom door hinge repair,high,,,,,,
3527,,,Kitchen Gas shelf broken ,,,,Civil,Kitchen floor repair,high,,,,,,
3528,,,Kitchen back drain jam ,,,,Civil,Back Drain Damage,high,,,,,,
3529,,,Balcony door damage ,,,,Woodwork,Balcony handrail repair,low,,,,,,
3530,,,Front door is not working. ,,,,Electrical,Celing fan-Not working,high,,,,,,
3531,,,Water leakage from tap.,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
3532,,,Clean front or back drain cleaning ,,,,Housekeeping,Front Drain Jam,low,,,,,,
3533,,,Ground floor bulb not working.,,,,Electrical,Light-not working,high,,,,,,
3534,,,Hole is from the previous lock fitted in it. ,,,,Woodwork,Door frames patch/copla/tiles/mosaic - Replacement and paint,low,,,,,,
3535,,,"Latch is very tight and door needs to filled , very hard to open. ",,,,Woodwork,Door frames patch/copla/tiles/mosaic - Replacement and paint,high,,,,,,
3536,,,"Staircase wall plaster please,",,,,Civil,Repairs to staircase,low,,,,,,
3537,,,Dining Room Basin Tap leaking,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
3538,,,Back side,,,,Housekeeping,Catchpit Jam,high,,,,,,
3539,,,"Roof,cleaning",,,,Housekeeping,Improper Cleaning,high,,,,,,
3540,,,Window glass broken due to that duat is coming,,,,Civil,Bedroom-1 window glass pane fixing,high,,,,,,
3541,,,There is leakage from water tap and joint ,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
3542,,,"Anx-1,Room-1 To 4, bath room  don't  water supply,",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
3543,,,When my above first floor people used their toilet at that time water leakage and falling my toilet ventilation area and sometimes sprinkle of water enter my toilet room.,,,,Civil,Outhouse ceiling plaster,high,,,,,,
3544,,,Toilet hand shower handle broken,,,,Water and Plumbing Work,Improper function of Shower,high,,,,,,
3545,,,Kitchen basin outlate pipe change,,,,Civil,Repairs to chocked outlet pipe at Kitchen,low,,,,,,
3546,,,Cemented overhead tank of building stop cock not working water overflowing in huge quantity as less occupant in building. Kindly resolve as there is huge wastage of water is happening on regular basis.,,,,Water and Plumbing Work,Improper function of Stop cock,high,,,,,,
3547,,,Left door is not opening properly stucking with ground ,,,,Woodwork,Door frames patch/copla/tiles/mosaic - Replacement and paint,high,,,,,,
3548,,,Bathroom floor repair and cementing ,,,,Civil,Bathroom floor repair,high,,,,,,
3549,,,Both gate pillar of main entrance of K3-134 has damage chances of collapse and lead to unsafe situation.,,,,Civil,Repairs to gate pillar,high,,,,,,
3550,,,"Boundary wall damage chancess of falling, and unsafe situation ",,,,Civil,Boulder Wall - Repair,high,,,,,,
3551,,,"Over head tank pipe is lose and water is flowing from yesterday night no water in tank 
",,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,low,,,,,,
3552,,,"Front room window wooden part damage resulting glass coming out and unable to close window, it's an security issue.",,,,Woodwork,Broken glass panes Repair/Refix/Replacement,high,,,,,,
3553,,,"Wall plaster of the drawing room has fallen of from the roof as u can see the image.
Kindly repair it to the earliest ",,,,Civil,Drawing Room wall plaster,high,,,,,,
3554,,,Door-window painting at L424RR as per the request came from TML Union,,,,Woodwork,Window Ventilators frames  - Repair and painting,high,,,,,,
3555,,,Rear and front side drain jammed to be clean as soon as possible.,,,,Housekeeping,Back Drain Jam,high,,,,,,
3556,,,Front and Left side wall partially damaged may be fall down.,,,,Civil,Boulder Wall - Repair,high,,,,,,
3557,,,During flush the water leaks from comode,,,,Civil,Replacement of unnaturally damaged OWC pan,low,,,,,,
3558,,,Water leakage from wash basine ,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
3559,,,Ceiling repair,,,,Civil,Misc. requests,high,,,,,,
3560,,,Staircase light not working,,,,Electrical,Light-not working,low,,,,,,
3561,,,Repairing,,,,Civil,Misc. requests,high,,,,,,
3562,,,Shelf repair,,,,Civil,Opening  of locked door when key is missing/ self-lock doors,high,,,,,,
3563,,,New Allotment,,,,Water and Plumbing Work,New Allotment,low,,,,,,
3564,,,New Allotment,,,,Civil,New Allotment,low,,,,,,
3565,,,Window hange damage any person ,,,,Woodwork,Bedroom-3 window hinge repair,low,,,,,,
3566,,,Front gate  drain cleaning ,,,,Housekeeping,Front Drain Jam,low,,,,,,
3567,,,"Water liqiege Dalma house, Neldhi ",,,,Civil,Repairs to roof leakage,low,,,,,,
3568,,,"When 2-3 taps are running at a time , water flow is very low.
Even single tap running for long time water flow and pressure drop to very  low.",,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
3569,,,"Door and Window paint pill off due to which these are Detoriating, kindly paint door and Windows ASAP.",,,,Civil,Interior treatment of Due Quarters upto P Type,low,,,,,,
3570,,,New Allotment,,,,Electrical,New Allotment,low,,,,,,
3571,,,Kitchen floor is breaking,,,,Civil,Kitchen floor repair,high,,,,,,
3572,,,Repair to approach path road to gate,,,,Civil,Repairs to approach path ( road to gate ),low,,,,,,
3573,,,Pillars of the back door are cracked and shaking.,,,,Civil,Repairs to gate pillar,low,,,,,,
3574,,,Kindly karwa dijiye smell bhi hora 3 din bad kali puja mela lagega (22 feet) aur bhi ganda ho jayega,,,,Housekeeping,Back Drain Jam,low,,,,,,
3575,,,Water flow very low in toilet and bathroom. Quarter N118.,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,high,,,,,,
3576,,,M 53 Whole  building,,,,Housekeeping,Antitermite Treatment,high,,,,,,
3577,,,Plant grown on water tanks n roots coming down to first floor ,,,,Housekeeping,Bush Cutting Required,low,,,,,,
3578,,,Gate ke samne floor tuta hai,,,,Civil,Repairs to approach path ( road to gate ),low,,,,,,
3579,,,Bathroom area CFL bulb not working ,,,,Electrical,Light-not working,high,,,,,,
3580,,,Bathroom jam,,,,Housekeeping,Bathroom Jam,high,,,,,,
3581,,,No power in Final Area,,,,Electrical,No power-Complete Area,high,,,,,,
3582,,,Dry leaves to be cleaned from the rooftop,,,,Housekeeping,Improper Cleaning,low,,,,,,
3583,,,Bedroom 1 light not working,,,,Electrical,Light-not working,high,,,,,,
3584,,,Broken and in bad condition very unsafe. ,,,,Civil,Repair to chajja,high,,,,,,
3585,,,Front dren jam,,,,Housekeeping,Front Drain Jam,low,,,,,,
3586,,, To fix a pesto fan four nails to put ,,,,Woodwork,Misc. requests,high,,,,,,
3587,,,Add materials building  2nd floor canteen side,,,,Civil,Toilet-2 bow handle repair,high,,,,,,
3588,,,2 nos. Exhaust fan not working,,,,Electrical,Exhaust fan-Noise,high,,,,,,
3589,,,10 nos. Tube light not working,,,,Electrical,Light-not working,high,,,,,,
3590,,,Barsat ka Pani shoktank hotel hua toilet se Bahar aagan me bhar jata hai aur kitchen Tak Cale jata hai,,,,Civil,Back Drain Damage,high,,,,,,
3591,,,Damage ,,,,Woodwork,False Ceiling Repair,high,,,,,,
3592,,,Fixed 2 board,,,,Woodwork,Fixing of notice board,high,,,,,,
3593,,,"Anx-1,common bathroom  flash lickeg",,,,Water and Plumbing Work,E.W.C. seat cover to be replaced,low,,,,,,
3594,,,"Hall,3,60,3,Roof, supply pipe damage",,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
3595,,,Room -10 Roof light  switch not workings,,,,Electrical,Light-not working,low,,,,,,
3596,,,CELLING FAN IS MAKING NOISE AND NOT WORKING,,,,Electrical,Celing fan-Noise,low,,,,,,
3597,,,baranda 3 plug not working,,,,Electrical,Electrical fire,low,,,,,,
3598,,,The outhouse wall is about to fall off. It has a huge crack because of which it looks slanted and about to fall. ,,,,Civil,Outhouse brick wall repair,high,,,,,,
3599,,,One door handle and 2 window stopper missing,,,,Civil,Miscellaneous Work,high,,,,,,
3600,,,After plumbing work bathroom and kitchen wall broken,,,,Civil,Bathroom brick wall repair,low,,,,,,
3601,,,Kitchen paint for devali,,,,Civil,Kitchen Touch up painting,high,,,,,,
3602,,,door handle and 2window stoper missing,,,,Woodwork,Bedroom-1 window shutter repair,high,,,,,,
3603,,,"Ceiling plaster falling in kitchen safety issue, ",,,,Civil,Kitchen ceiling plaster,high,,,,,,
3604,,,Repair patches in entire ceiling needs to be whitewashed,,,,Civil,Bedroom-1 Touch up painting,high,,,,,,
3605,,,Window handle for using open and close is broken need new one for same,,,,Steel Works,Repairs to steel window,high,,,,,,
3606,,,To fix tube light in pesto fly,,,,Electrical,Tube light-Not glowing,high,,,,,,
3607,,,Stand fan plug not working ,,,,Electrical,Earthing-no earthing in plug point,high,,,,,,
3608,,,Wall near by kitchen window has broken,,,,Civil,Kitchen window hinge repair,high,,,,,,
3609,,,Drinking water scarcity ,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
3610,,,9204705073,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
3611,,,"Bathroom door damaged, need to replace with new door ",,,,Woodwork,Repairs to bath & lat. Doors,high,,,,,,
3612,,,A line of termites is seen coming out from the switch board,,,,Housekeeping,Antitermite Treatment,high,,,,,,
3613,,,Sunlight is not coming due to tree branches.,,,,Housekeeping,Bush Cutting Required,high,,,,,,
3614,,,Vintilotor damage ,,,,Civil,Dining Room brick wall repair,low,,,,,,
3615,,,"Very less amount of water is filling in overhead water tank and tank getting empty within 2-3 hours, everyday same problem repeats",,,,Water and Plumbing Work,Other Misc. requests,low,,,,,,
3616,,,Front & side Drain jam,,,,Housekeeping,Front Drain Jam,high,,,,,,
3617,,,"New Allotment, Kindly collect key from MP Singh (Town Admin Office)",,,,Electrical,New Allotment,low,,,,,,
3618,,,"New Allotment, Kindly collect key from MP Singh (Town Admin Office)",,,,Civil,New Allotment,low,,,,,,
3619,,,"New Allotment, Kindly collect key from MP Singh (Town Admin Office)",,,,Water and Plumbing Work,New Allotment,low,,,,,,
3620,,,Baranda ka switch board not working,,,,Electrical,Power point-Not working,low,,,,,,
3621,,,"Security Watch tower no-02, Two Hologens not working",,,,Electrical,Street light-block light not working,low,,,,,,
3622,,,Over flowing of water from tank ,,,,Water and Plumbing Work,Over Flow From Over Head Tank,low,,,,,,
3623,,,"Security watch tower no-4, two halojen not working, Complainer phone number - 7004246284",,,,Electrical,Light-not working,low,,,,,,
